0,1,2,3,4,5,6,7,8,9,label
105.0,83.0,137.0,75.0,101.0,91.0,100.0,95.0,96.0,95.0,true
96.0,86.0,138.0,77.0,101.0,91.0,100.0,96.0,93.0,92.0,true
91.0,86.0,119.0,45.0,122.0,55.0,121.0,53.0,85.0,96.0,true
96.0,71.0,42.0,10.0,169.0,0.0,170.0,0.0,86.0,96.0,true
95.0,68.0,39.0,9.0,162.0,0.0,161.0,0.0,80.0,89.0,true
88.0,85.0,101.0,31.0,116.0,37.0,116.0,46.0,81.0,91.0,true
92.0,78.0,113.0,44.0,123.0,58.0,123.0,100.0,91.0,101.0,true
99.0,98.0,108.0,87.0,74.0,91.0,73.0,79.0,79.0,88.0,true
87.0,72.0,54.0,81.0,81.0,73.0,81.0,73.0,76.0,72.0,true
71.0,68.0,49.0,28.0,122.0,21.0,122.0,82.0,72.0,69.0,true
71.0,70.0,53.0,82.0,89.0,74.0,89.0,80.0,78.0,74.0,true
73.0,94.0,116.0,141.0,0.0,149.0,0.0,82.0,77.0,76.0,true
77.0,99.0,121.0,147.0,0.0,157.0,0.0,64.0,72.0,69.0,false
68.0,53.0,112.0,42.0,94.0,50.0,94.0,70.0,71.0,67.0,false
66.0,75.0,94.0,62.0,72.0,69.0,72.0,70.0,71.0,78.0,false
78.0,88.0,28.0,98.0,46.0,93.0,45.0,71.0,68.0,75.0,false
75.0,71.0,92.0,124.0,11.0,136.0,0.0,135.0,68.0,76.0,false
75.0,49.0,106.0,38.0,92.0,43.0,92.0,71.0,66.0,63.0,false
62.0,62.0,42.0,77.0,64.0,71.0,65.0,71.0,68.0,63.0,false
62.0,62.0,46.0,27.0,114.0,20.0,114.0,61.0,67.0,62.0,false
62.0,70.0,46.0,108.0,25.0,105.0,25.0,75.0,65.0,61.0,false
61.0,61.0,41.0,76.0,61.0,71.0,62.0,71.0,66.0,61.0,false
61.0,61.0,45.0,109.0,29.0,108.0,27.0,91.0,72.0,72.0,false
74.0,73.0,53.0,125.0,46.0,120.0,49.0,120.0,85.0,83.0,true
82.0,78.0,59.0,83.0,91.0,73.0,86.0,76.0,79.0,77.0,true
78.0,63.0,119.0,51.0,97.0,60.0,97.0,65.0,76.0,71.0,true
70.0,68.0,49.0,80.0,74.0,72.0,74.0,73.0,73.0,68.0,true
68.0,66.0,47.0,10.0,126.0,0.0,138.0,44.0,69.0,65.0,true
64.0,51.0,110.0,43.0,96.0,53.0,95.0,60.0,69.0,62.0,true
60.0,60.0,39.0,76.0,65.0,72.0,73.0,73.0,70.0,65.0,true
67.0,67.0,49.0,115.0,31.0,111.0,30.0,110.0,70.0,66.0,true
65.0,65.0,45.0,78.0,69.0,72.0,70.0,71.0,71.0,66.0,false
66.0,87.0,71.0,79.0,47.0,82.0,46.0,81.0,63.0,56.0,false
56.0,57.0,84.0,112.0,0.0,119.0,0.0,97.0,59.0,66.0,false
65.0,60.0,76.0,91.0,20.0,96.0,20.0,88.0,58.0,64.0,false
65.0,60.0,74.0,90.0,2.0,115.0,0.0,115.0,57.0,64.0,false
64.0,74.0,64.0,102.0,12.0,101.0,0.0,99.0,58.0,52.0,false
51.0,60.0,41.0,96.0,19.0,94.0,19.0,89.0,56.0,52.0,false
52.0,60.0,41.0,96.0,19.0,95.0,19.0,95.0,57.0,52.0,false
52.0,39.0,93.0,27.0,84.0,29.0,84.0,30.0,57.0,52.0,false
