0,1,2,3,4,5,6,7,8,9,label
49.0,58.0,79.0,42.0,67.0,46.0,67.0,53.0,63.0,70.0,false
67.0,60.0,79.0,42.0,68.0,47.0,67.0,59.0,56.0,62.0,false
62.0,37.0,92.0,27.0,85.0,30.0,84.0,65.0,60.0,57.0,false
59.0,61.0,45.0,27.0,116.0,21.0,115.0,71.0,63.0,57.0,false
57.0,59.0,44.0,106.0,24.0,105.0,24.0,98.0,60.0,54.0,false
53.0,61.0,41.0,98.0,21.0,100.0,23.0,106.0,68.0,63.0,false
62.0,64.0,48.0,114.0,30.0,110.0,27.0,107.0,65.0,59.0,false
54.0,56.0,40.0,25.0,93.0,20.0,87.0,50.0,51.0,43.0,false
44.0,64.0,16.0,73.0,20.0,70.0,20.0,41.0,44.0,51.0,false
51.0,44.0,64.0,28.0,58.0,30.0,58.0,43.0,43.0,51.0,false
50.0,44.0,23.0,4.0,83.0,4.0,83.0,45.0,42.0,37.0,false
37.0,59.0,14.0,70.0,19.0,68.0,19.0,42.0,43.0,51.0,false
51.0,60.0,14.0,70.0,19.0,68.0,19.0,68.0,43.0,51.0,false
51.0,44.0,56.0,11.0,76.0,12.0,76.0,49.0,44.0,51.0,false
51.0,60.0,14.0,70.0,19.0,68.0,19.0,43.0,43.0,51.0,false
50.0,28.0,73.0,18.0,68.0,19.0,68.0,40.0,43.0,37.0,false
37.0,60.0,14.0,70.0,19.0,68.0,19.0,50.0,43.0,51.0,false
51.0,44.0,65.0,28.0,58.0,30.0,58.0,30.0,43.0,51.0,false
51.0,44.0,64.0,84.0,0.0,90.0,0.0,62.0,45.0,51.0,false
50.0,59.0,14.0,69.0,19.0,68.0,19.0,56.0,44.0,50.0,false
50.0,43.0,64.0,28.0,57.0,29.0,58.0,34.0,44.0,51.0,false
50.0,28.0,72.0,17.0,67.0,18.0,67.0,32.0,42.0,36.0,false
36.0,43.0,33.0,75.0,12.0,73.0,11.0,73.0,42.0,36.0,false
36.0,27.0,71.0,17.0,67.0,19.0,68.0,19.0,43.0,37.0,false
37.0,44.0,58.0,73.0,20.0,83.0,20.0,72.0,55.0,62.0,false
64.0,60.0,82.0,110.0,8.0,124.0,0.0,104.0,64.0,73.0,false
75.0,64.0,93.0,26.0,113.0,34.0,114.0,44.0,76.0,86.0,false
86.0,84.0,101.0,30.0,114.0,35.0,115.0,59.0,84.0,97.0,false
98.0,95.0,104.0,78.0,74.0,85.0,74.0,93.0,88.0,97.0,false
95.0,67.0,37.0,9.0,162.0,0.0,166.0,0.0,83.0,92.0,false
89.0,97.0,76.0,130.0,21.0,126.0,0.0,150.0,75.0,72.0,false
75.0,74.0,52.0,30.0,146.0,0.0,155.0,0.0,81.0,77.0,false
75.0,84.0,99.0,73.0,74.0,79.0,73.0,74.0,73.0,78.0,false
77.0,63.0,42.0,9.0,116.0,9.0,114.0,15.0,59.0,54.0,false
54.0,57.0,34.0,72.0,50.0,68.0,49.0,68.0,59.0,52.0,false
